"res-5zx6ot href","res-aogzfy","res-inoga3 href","res-1j9e5pd href","res-ewgtgq","res-ewgtgq 2","res-du9bhi","res-1bl90s9","res-7axup0","res-7lz8jh","res-7axup0 2","res-7lz8jh 5","res-7axup0 6","res-9lmmub","res-du9bhi 2","res-kjzl78","res-kjzl78 2","res-kjzl78 3","res-kjzl78 4","text-snippet-expand-button","res-1mkhkpt src","res-1jn70yv","res-kjzl78 5","res-kjzl78 6","res-kjzl78 7","res-kjzl78 8"
"[object Object]","Passt weniger","https://www.stepstone.de/cmp/de/adesso-se-7420/jobs","https://www.stepstone.de/stellenangebote--Software-Architect-Conversational-AI-all-genders-Aachen-Augsburg-Berlin-Bonn-Bremen-Dortmund-weitere-Standorte-in-DE-adesso-SE--13949295-inline.html","Software Architect Conversational AI (all genders)","adesso SE","Aachen, Augsburg, Berlin, Bonn, Bremen, Dortmund, weitere Standorte in DE","","","","","","","vor 2 Tagen","","adesso SE * Aachen, Augsburg, Berlin, Bonn, Bremen, Dortmund, weitere Standorte in DE * Feste Anstellung * Vollzeit - Sei einer der ersten Bewerber - Anschreiben nicht erforderlich - adesso steht für digitale Exzellenz – und damit auch für vielfältige Entwicklungsmöglichkeiten für alle adessi. Wir wachsen gemeinsam und lernen voneinander: in anspruchsvollen Projekten, interdisziplinären Teams und mit zielgerichteten Trainingsangeboten. Wir haben IT im Herzen und den Erfolg unserer Kunden im Fokus. Als Treiber der KI-Transformation verbinden wir Mut zur Veränderung mit technologischer Expertise und zukunftsfähigen Strategien. Was uns stark macht, sind unsere adessi, die etwas bewegen wollen und das einfach machen. Dieses Handeln lebt von unserer Kultur, die auf Offenheit, Verantwortungsübernahme und gemeinsamen Erfolgen basiert. * Architektur & Integration: Du konzipierst skalierbare Architekturen und ...","","","","mehr","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","Anschreiben nicht erforderlich","","","",""
"[object Object]","Passt weniger","https://www.stepstone.de/cmp/de/bmw-group-27361/jobs","https://www.stepstone.de/stellenangebote--Validation-Engineer-Multi-Agent-AI-Systems-f-m-x-Muenchen-BMW-Group--13932229-inline.html","Validation Engineer - Multi-Agent AI Systems (f/m/x)","BMW Group","München","65.000 - 87.000 €/Jahr  (geschätzt für Vollzeit)","","","","","","vor 5 Tagen","","We are looking for an  who can design and evolve the knowledge-management and context-engineering backbone that powers both our product (an inter-domain multi- vehicle  and our internal development toolchain. * You build and operate cloud-based  environments for a multi-  that operates across ADAS, Infotainment and backend-service domains – defining test architectures, scenario pipelines, behavioural oracles and regression suites. * Furthermore, you evaluate and select the LLMs/SLMs that power your   and test-generation  balancing latency, cost and accuracy for large-scale test campaigns. * Also, you design AI-assisted exploration strategies to navigate the semantic search space of the  under test: -based probing of behavioural boundaries, adaptive test strategies, and ...","engineer","agent","system)","mehr","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","","validation","agent","system","validation"
"[object Object]","Passt weniger","https://www.stepstone.de/cmp/de/prosoz-herten-gmbh-75604/jobs","https://www.stepstone.de/stellenangebote--Senior-Softwaretester-m-w-d-Fachverfahren-Leistungsgewaehrung-Home-Office-bundesweit-Frankfurt-am-Main-Berlin-Dresden-Muenchen-Leipzig-Koeln-Duesseldorf-PROSOZ-Herten-GmbH--13801524-inline.html","Senior Softwaretester (m/w/d) – Fachverfahren Leistungsgewährung","PROSOZ Herten GmbH","Home Office, bundesweit - Frankfurt am Main, Berlin, Dresden, München, Leipzig, Köln, Düsseldorf","41.000 - 67.000 €/Jahr  (geschätzt für Vollzeit)","","","","","Deutsch","vor 1 Woche","Teilweise Home-Office","","","","","","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","","","","",""
"[object Object]","Passt weniger","https://www.stepstone.de/cmp/de/prodyna-se-22458/jobs","https://www.stepstone.de/stellenangebote--Cloud-Engineer-all-genders-Berlin-Hamburg-Frankfurt-am-Main-Duesseldorf-Muenchen-Stuttgart-PRODYNA-SE--13799016-inline.html","Cloud Engineer (all genders)","PRODYNA SE","Berlin, Hamburg, Frankfurt am Main, Düsseldorf, München, Stuttgart","53.000 - 78.000 €/Jahr  (geschätzt für Vollzeit)","Englisch","|","Microsoft Azure","|","Kommunikation","vor 1 Woche","Teilweise Home-Office","","","","","","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","","","","",""
"[object Object]","Passt weniger","https://www.stepstone.de/cmp/de/genua-gmbh-58088/jobs","https://www.stepstone.de/stellenangebote--Product-Owner-d-m-w-fuer-Cloud-Native-Sicherheitsprodukte-Kirchheim-bei-Muenchen-Berlin-Leipzig-genua-GmbH--13708619-inline.html","Product Owner (d/m/w) für Cloud Native Sicherheitsprodukte","genua GmbH","Kirchheim bei München, Berlin, Leipzig","50.000 - 79.000 €/Jahr  (geschätzt für Vollzeit)","DevOps Entwicklung","|","Englisch","|","Kommunikation","vor 3 Wochen","Teilweise Home-Office","","","","","","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","","","","",""
"[object Object]","Passt weniger","https://www.stepstone.de/cmp/de/afida-gmbh-427073/jobs","https://www.stepstone.de/stellenangebote--AI-Platform-Engineer-Cloud-Engineer-AI-all-genders-Muenchen-Stuttgart-Essen-Frankfurt-Koeln-Nuernberg-Dortmund-Afida-GmbH--13949267-inline.html","AI Platform Engineer / Cloud Engineer AI (all genders)","Afida GmbH","München, Stuttgart, Essen, Frankfurt, Köln, Nürnberg, Dortmund","","Englisch","|","DevOps Entwicklung","|","Deutsch","vor 3 Tagen","","","","","","","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","","","","",""
"[object Object]","Passt weniger","https://www.stepstone.de/cmp/de/inovex-gmbh-24494/jobs","https://www.stepstone.de/stellenangebote--Cloud-Platform-Kubernetes-Engineer-Karlsruhe-Koeln-Muenchen-Hamburg-Stuttgart-Erlangen-oder-Berlin-inovex-GmbH--9700340-inline.html","Cloud Platform / Kubernetes Engineer*","inovex GmbH","Karlsruhe, Köln, München, Hamburg, Stuttgart,  Erlangen oder Berlin","65.000 - 85.000 €/Jahr  (geschätzt für Vollzeit)","Englisch","|","Microsoft Azure","|","Git","vor 2 Wochen","Teilweise Home-Office","","","","","","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","","","","",""
"[object Object]","Passt weniger","https://www.stepstone.de/cmp/de/bwi-gmbh-82433/jobs","https://www.stepstone.de/stellenangebote--Systems-Engineer-Full-Managed-Cloud-Stack-m-w-d-Muenchen-Frankfurt-Hamburg-Nuernberg-Ulm-Berlin-Bonn-Leipzig-BWI-GmbH--13877095-inline.html","Systems Engineer - Full Managed Cloud Stack (m/w/d)","BWI GmbH","München, Frankfurt, Hamburg, Nürnberg, Ulm, Berlin, Bonn, Leipzig","49.000 - 80.000 €/Jahr  (geschätzt für Vollzeit)","","","","","","vor 3 Tagen","Teilweise Home-Office","BWI GmbH * München, Frankfurt, Hamburg, Nürnberg, Ulm, Berlin, Bonn, Leipzig * Feste Anstellung * Homeoffice möglich, Vollzeit - Schnelle Bewerbung - Als primärer Digitalisierungspartner der Bundeswehr erbringen wir stabile, sichere und effiziente IT-Services im In- und Ausland, vom Grundbetrieb bis in den einsatznahen Bereich und tragen so zur kontinuierlichen Erhöhung der Führungs- und Einsatzfähigkeit der Bundeswehr bei. Mit über 8.000 Kolleg*innen betreiben und modernisieren wir eine der größten und komplexesten IT-Infrastrukturen in Deutschland. Wir suchen verantwortungsvolle IT-Spezialist*innen, die die Bundeswehr-IT aus Überzeugung in herausfordernden Digitalisierungsvorhaben weiterentwickeln und so einen Beitrag zur Sicherheit Deutschlands leisten wollen. Sorge gemeinsam mit uns für die digitale Zukunftsfähigkeit der Bundeswehr.","","","","mehr","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","Schnelle Bewerbung","","","",""
"","","https://www.stepstone.de/cmp/de/t%c3%9cv-s%c3%9cd-54474/jobs","https://www.stepstone.de/stellenangebote--Enterprise-Architecture-Repository-Tool-Manager-f-m-d-Muenchen-TUEV-SUED--13946925-inline.html","Enterprise Architecture Repository & Tool Manager (f/m/d)","TÜV SÜD","München","68.000 - 81.000 €/Jahr  (geschätzt für Vollzeit)","","","","","","vor 3 Tagen","","Solid grasp of  IT landscapes and  artifacts, with experience using IT management  (e.g., repositories/CMDB) * Own and maintain the   () repository, ensuring high data quality and consistency * Manage and evolve  data across applications, interfaces, technologies, and capabilities * Operate, configure, and continuously improve EA  including data models, views, reports, and dashboards * Provide  data to support governance,  reviews, and management decision-making * Structured, analytical, and well-organized, with strong cross-functional collaboration skills and a focus on  transparency, governance, and reporting * TÜV SÜD * München * Feste Anstellung * Vollzeit - Sei einer der ersten Bewerber - Introduction - At TÜV SÜD we are passionate about technology.","enterprise","architecture","tools","mehr","","","Enterprise","Architecture","architecture","tools,"
"","","https://www.stepstone.de/cmp/de/man-truck-%26-bus-group-29656/jobs","https://www.stepstone.de/stellenangebote--System-Test-Engineer-Cab-Chassis-w-m-d-Muenchen-MAN-Truck-Bus-Group--13855909-inline.html","System Test Engineer Cab/Chassis (w/m/d)","MAN Truck & Bus Group","München","","Informatik","|","Englisch","|","Kommunikation","vor 1 Woche","Teilweise Home-Office","","","","","","","","","","",""
"","","https://www.stepstone.de/cmp/de/bmw-group-27361/jobs","https://www.stepstone.de/stellenangebote--Senior-AI-Infrastructure-Engineer-f-m-x-Muenchen-BMW-Group--13888942-inline.html","Senior AI Infrastructure Engineer (f/m/x)","BMW Group","München","72.000 - 94.000 €/Jahr  (geschätzt für Vollzeit)","","","","","","vor 1 Tag","","You will design, build, and operate GPU‑centric   (especially NVIDIA) across on‑prem and cloud environments, with a strong focus on performance, scalability, and efficiency. * You are responsible for developing and operating core  components such as scheduling and resource management systems (e.g., SLURM, Ray, Run: ensuring efficient utilization of shared GPU resources. * You contribute to BMW-specific  use cases by providing reliable and scalable  * Your role is rounded by taking technical ownership of the   stack, defining best practices, and guide less experienced . * Several years of professional experience (8–10 years) in industry, building and operating  and HPC  We shape the future of domain-specific  systems at the BMW Group by designing, training, and operating new foundation models.","AI","infrastructure","infrastructure","mehr","","","ai),","AI","infrastructure.","AI"
"","","https://www.stepstone.de/cmp/de/mgm-technology-partners-gmbh-58948/jobs","https://www.stepstone.de/stellenangebote--Java-Softwareentwickler-m-w-d-Aachen-Bamberg-Berlin-Dresden-Hamburg-Koeln-Leipzig-Muenchen-Nord-Muenchen-Sued-Nuernberg-mgm-technology-partners-GmbH--13783548-inline.html","Java Softwareentwickler (m/w/d)","mgm technology partners GmbH","Aachen, Bamberg, Berlin, Dresden, Hamburg, Köln, Leipzig, München-Nord, München-Süd, Nürnberg","55.000 - 100.000 €/Jahr  (geschätzt für Vollzeit)","","","","","","vor 1 Woche","Teilweise Home-Office","Sei Teil der Transformation von einem Projekt- hin zu einem hybriden Projekt- und Produkthaus als  (m/w/d) * Realisierung anspruchsvoller Anwenderapplikationen und Softwarekomponenten in  auf Basis von  EE und Spring Boot * Backendentwicklung in  sowie die Qualitätssicherung und Anpassung des Codes * Du bringst erste Berufserfahrung in Softwareentwicklungsprojekten mit dem Schwerpunkt  mit * Du kannst Erfahrung mit relevanten Technologien im -Umfeld (z.B. Spring Boot) nachweisen * Du bist sicher im Umgang mit  Build Tools (z.B. Ant, Maven, Gradle) * mgm technology partners GmbH * Aachen, Bamberg, Berlin, Dresden, Hamburg, Köln, Leipzig, München-Nord, München-Süd, Nürnberg * Feste Anstellung * Homeoffice möglich, Vollzeit - Schnelle Bewerbung - Bei mgm entwickeln wir seit über drei Jahrzehnten komplexe Enterprise-Softwarelösungen und setzen mit unserer Low Code Plattform A12 ...","Java Softwareentwickler","Java","Java","mehr","","Schnelle Bewerbung","Java","Java","Java","Java"
"","","https://www.stepstone.de/cmp/de/genua-gmbh-58088/jobs","https://www.stepstone.de/stellenangebote--Full-Stack-Developer-d-m-w-IT-Security-Firewall-Kirchheim-bei-Muenchen-Berlin-genua-GmbH--13744367-inline.html","Full Stack Developer (d/m/w) - IT-Security & Firewall","genua GmbH","Kirchheim bei München, Berlin","48.000 - 68.000 €/Jahr  (geschätzt für Vollzeit)","Code-Review","","","|","Deutsch","vor 2 Wochen","Teilweise Home-Office","","","","","","","","","","",""
"","","https://www.stepstone.de/cmp/de/ntt-data-107448/jobs","https://www.stepstone.de/stellenangebote--Lead-Cloud-Platform-Architect-fuer-Google-Cloud-Platform-w-m-x-Muenchen-Frankfurt-a-M-Stuttgart-Koeln-Hamburg-Ettlingen-Wolfsburg-Erfurt-Rosenheim-Berlin-NTT-DATA--13808347-inline.html","Lead Cloud Platform Architect für Google Cloud Platform (w/m/x)","NTT DATA","München, Frankfurt a. M., Stuttgart, Köln, Hamburg, Ettlingen, Wolfsburg, Erfurt, Rosenheim, Berlin","60.000 - 100.000 €/Jahr  (geschätzt für Vollzeit)","","","","","","vor 5 Tagen","Teilweise Home-Office","Idealerweise verfügst du über eine  Zertifizierung (z.B. Google  Certified Professional   Im Bereich Application &  schlägt unser Herz für die Softwareentwicklung/ -integration und  Plattformen. Dabei setzen wir auf neueste  Native Architekturen und Technologien. Werde Teil des Teams für die Konzeption und Implementierung von  Landing Zones, Container Plattformen und  Native Tools, sodass sich unsere Kunden auf die Entwicklung innovativer digitaler Lösungen fokussieren und die Modernisierung ihrer bestehenden Applikationslandschaft vorantreiben können. * Du führst die strategische Beratung bei der Einführung von  Technologien, speziell Google  unter kundenspezifischen Anforderungen * Du konzeptionierst anspruchsvolle  Lösungen und Architekturen im Hinblick auf Zuverlässigkeit, Sicherheit, Performanz und ...","Cloud","Cloud","Cloud","mehr","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","Schnelle Bewerbung","Architect)","Cloud","Cloud","Cloud"
"","","https://www.stepstone.de/cmp/de/chroma-germany-gmbh-323385/jobs","https://www.stepstone.de/stellenangebote--Service-Engineer-Test-Systems-m-w-d-Augsburg-Chroma-Germany-GmbH--13868827-inline.html","Service Engineer-Test Systems (m/w/d)","Chroma Germany GmbH","Augsburg","45.000 - 55.000 €/Jahr  (geschätzt für Vollzeit)","","","","","","vor 3 Tagen","","As a  –   you will support our photonics and semiconductor   both on customer sites across Europe and inhouse- at our Augsburg location. Chroma Germany GmbH is part of a globally successful manufacturer of high quality electronics and advanced   * Install, commission, and start up photonics and semiconductor   at customer sites - If you enjoy hands on technical work, customer interaction, and working with complex  we'd love to hear from you. This role combines hands on Technical  Customer  facing responsibilities, and structured documentation. * Perform preventive maintenance and corrective  work * Act as the primary technical contact during on-site  assignments * Perform in-house technical activities such as  checks, preparation, basic assembly, and verification","Service Engineer","Test","Systems,","mehr","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","Schnelle Bewerbung","test","systems","test","systems."
"","","https://www.stepstone.de/cmp/de/mentz-gmbh-5081/jobs","https://www.stepstone.de/stellenangebote--Senior-Test-Engineer-fuer-Verkehrsplanungssysteme-w-m-d-Muenchen-Mentz-GmbH--13884889-inline.html","Senior Test Engineer für Verkehrsplanungssysteme (w/m/d)","Mentz GmbH","München","56.000 - 74.000 €/Jahr  (geschätzt für Vollzeit)","Informatik","|","SQL","|",".NET","vor 2 Tagen","Teilweise Home-Office","","","","","","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","","","","",""
"","","https://www.stepstone.de/cmp/de/bmw-group-27361/jobs","https://www.stepstone.de/stellenangebote--Senior-Applied-AI-ML-Application-Engineer-f-m-x-Muenchen-BMW-Group--13888954-inline.html","Senior Applied AI / ML Application Engineer (f/m/x)","BMW Group","München","72.000 - 95.000 €/Jahr  (geschätzt für Vollzeit)","","","","","","vor 1 Tag","","But it takes real intellectual leadership and expertise to identify and then harness the  trends and technologies that will transform the way people travel for good. * Strong engineering experience integrating GenAI &  models to serve delightful use cases. * BMW Group * München * Feste Anstellung * Vollzeit - Artificial Intelligence and machine learning are at the cutting edge when it comes to shaping next-gen mobility in areas like automated driving. In this role, you will build, prototype, and deliver use cases that leverage edge device models. By understanding real user problems, model capabilities are translated into meaningful product experiences that make the voice and in‑car intelligence truly useful. Together with the model engineering product team, you will be a key contributor to our product: the BMW Intelligent Personal Assistant. What awaits you?","AI","ML","","mehr","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","","","","",""
"","","https://www.stepstone.de/cmp/de/andrena-objects-ag-100797/jobs","https://www.stepstone.de/stellenangebote--Softwareentwickler-Java-m-w-d-Muenchen-Karlsruhe-Frankfurt-am-Main-Koeln-Stuttgart-andrena-objects-ag--13401787-inline.html","Softwareentwickler Java (m/w/d)","andrena objects ag","München, Karlsruhe, Frankfurt am Main, Köln, Stuttgart","53.000 - 75.000 €/Jahr  (geschätzt für Vollzeit)","Microsoft Azure","|","Angular","|","Node.js","vor 1 Woche","Teilweise Home-Office","","","","","","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","","","","",""
"","","https://www.stepstone.de/cmp/de/landesamt-f%c3%bcr-digitalisierung_breitband-und-vermessung-130027/jobs","https://www.stepstone.de/stellenangebote--Referent-und-Teamleitung-eines-Softwareentwicklungsteams-w-m-d-Muenchen-Landesamt-fuer-Digitalisierung-Breitband-und-Vermessung--13927896-inline.html","Referent und Teamleitung eines Softwareentwicklungsteams (w/m/d)","Landesamt für Digitalisierung, Breitband und Vermessung","München","80.000 - 100.000 €/Jahr  (geschätzt für Vollzeit)","Informatik","|","SQL","|","Deutsch","vor 1 Woche","Teilweise Home-Office","","","","","","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","","","","",""
"","","https://www.stepstone.de/cmp/de/simonsvoss-technologies-gmbh-40446/jobs","https://www.stepstone.de/stellenangebote--Azure-Cloud-Engineer-SRE-m-f-d-Unterfoehring-bei-Muenchen-SimonsVoss-Technologies-GmbH--13726036-inline.html","Azure Cloud Engineer/ SRE (m/f/d)","SimonsVoss Technologies GmbH","Unterföhring bei München","70.000 - 80.000 €/Jahr  (geschätzt für Vollzeit)","","","","","","vor 1 Woche","Teilweise Home-Office","We are looking for a passionate  / SRE to join our R&D Software team. * Building, evolving, and maintaining production grade  environments with a focus on automation, security, and  *  Mastery: Solid understanding of  core services, networking, and identity/access management (IAM). In this role, you won't just manage ; you will be the architect of a resilient, high-performance  ecosystem that ensures our digital locking systems work flawlessly around the globe. * Close collaboration with the to design and implement  infrastructure solutions * Experience: 5+ years of IT experience, with at least 4 years of hands-on expertise in  infrastructure engineering. * Container Skills: Familiarity with container orchestration (Kubernetes) and -native application operations. * SimonsVoss Technologies GmbH * Unterföhring bei München * Feste Anstellung","Azure Cloud Engineer","Azure","reliability","mehr","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","Anschreiben nicht erforderlich","Cloud","Azure","cloud","cloud"
"","","https://www.stepstone.de/cmp/de/adesso-se-7420/jobs","https://www.stepstone.de/stellenangebote--Pega-Senior-System-Architect-Low-Code-No-Code-Consultant-all-genders-Augsburg-Karlsruhe-Koblenz-Muenchen-Nuernberg-Saarbruecken-Stuttgart-Ulm-Walldorf-adesso-SE--13884828-inline.html","Pega Senior System Architect - Low-Code / No-Code Consultant (all genders)","adesso SE","Augsburg, Karlsruhe, Koblenz, München, Nürnberg, Saarbrücken, Stuttgart, Ulm, Walldorf","51.000 - 100.000 €/Jahr  (geschätzt für Vollzeit)","","","","","","vor 2 Tagen","Teilweise Home-Office","Verbindung zwischen Business und IT: Als  ( verbindest du Business und IT, gestaltest die nächste Generation kundenorientierter Lösungen vom fachlichen Zielbild bis zur produktiven Umsetzung und arbeitest dabei direkt mit führenden Kundinnen und Kunden zusammen. * Woran wir gemeinsam arbeiten werden: Gezielt digitalisierst du die End-to-End Prozesse von Kunden und Services mit  im Public Sektor (mit Fokus auf äußere und innere Sicherheit), entwickelst Case-Management-Lösungen und integrierst sie in komplexe  verankerst Branchen- und -Best-Practices einschließlich der  Express Methodology und enablest Business- und IT-Stakeholder durch Mentoring, Schulungen und Anwender-Support. * Arbeite mit Low-Code Plattformen: Du konzipierst, orchestrierst und realisierst End-to-End-Lösungen auf Basis von  modellierst ...","Pega","Senior) System Architect","Pega","mehr","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","Anschreiben nicht erforderlich","Systemlandschaften,","Pega","Pega","Pega,"
"","","https://www.stepstone.de/cmp/de/adesso-insurance-solutions-gmbh-153720/jobs","https://www.stepstone.de/stellenangebote--Mathematiker-in-IT-Projekte-all-genders-Duesseldorf-Essen-Muenchen-Hamburg-Frankfurt-Bonn-weitere-Standorte-in-DE-adesso-insurance-solutions-GmbH--13949090-inline.html","Mathematiker/-in IT-Projekte (all genders)","adesso insurance solutions GmbH","Düsseldorf, Essen, München, Hamburg, Frankfurt, Bonn, weitere Standorte in DE","","Deutsch","","","|","Kommunikation","vor 3 Tagen","","","","","","","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","","","","",""
"","","https://www.stepstone.de/cmp/de/sopra-steria-3313/jobs","https://www.stepstone.de/stellenangebote--Programm-Manager-fuer-IT-Programme-in-der-oeffentlichen-Verwaltung-m-w-d-bundesweit-Berlin-Frankfurt-Hamburg-Koeln-Leipzig-Muenchen-Sopra-Steria--13594951-inline.html","Programm Manager für IT-Programme in der öffentlichen Verwaltung (m/w/d)","Sopra Steria","bundesweit, Berlin, Frankfurt, Hamburg, Köln, Leipzig, München","110.000 - 135.000 €/Jahr  (geschätzt für Vollzeit)","","","","","","vor 3 Wochen","Teilweise Home-Office","Als  übernimmst du die Verantwortung für komplexe - in der öffentlichen Verwaltung, die aus mehreren strategisch gebündelten Großprojekten bestehen * Du steuerst  mit hoher fachlicher und organisatorischer Komplexität und behältst dabei stets das übergeordnete Ziel im Blick * In deiner Rolle koordinierst du die Entwicklung, Migration und Bereitstellung von -Verfahren und bringst dich aktiv in länderübergreifende Kooperationen ein * Du gestaltest neue -Infrastrukturen, Softwarelösungen oder digitale Produkte – auch in Bereichen, in denen bislang keine Betriebs- oder Organisationsstrukturen existieren * Du hast einen Master-Abschluss oder einen Diplom-Abschluss in einer -nahen Disziplin wie Wirtschaftsinformatik oder bringst vergleichbare Kenntnisse und Fähigkeiten mit, die du in der Praxis erworben hast","Programm Manager","IT","Programme","mehr","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","Anschreiben nicht erforderlich","Programme","IT","IT","IT"
"","","https://www.stepstone.de/cmp/de/in-tech-57068/jobs","https://www.stepstone.de/stellenangebote--Testingenieur-Fahrzeugintensivtest-m-w-d-Muenchen-in-tech--13864541-inline.html","Testingenieur Fahrzeugintensivtest (m/w/d)","in-tech","München","","","","","","","vor 5 Tagen","","Wir sind  Softwareentwickler, Techniker und Quereinsteiger #allgenders und arbeiten an der Mobilität der Zukunft. * Du testest mit Präzision: Manuelle  führst du strukturiert durch und bewertest Ergebnisse zuverlässig. * in-tech * München * Feste Anstellung * Vollzeit - Anschreiben nicht erforderlich - in-tech ist ein digitaler Lösungsanbieter für Automotive, Rail und Smart Industry. Als strategischer Entwicklungspartner begleiten wir unsere Kunden durch den gesamten Entwicklungsprozess - von Einzelkomponenten bis hin zu Komplettlösungen aus Hard- u. Software. Wir sind orange! Du auch? Das sind deine Aufgaben - Du liebst Technik, denkst ganzheitlich und willst erleben, wie deine Arbeit auf der Straße spürbar wird? * Du betreust unsere dynamischen Plattformen: Mit deinem technischen Verständnis stellst du den reibungslosen Betrieb und die Weiterentwicklung sicher.","Ingenieure,","Tests","","mehr","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","Anschreiben nicht erforderlich","","","",""
"","","https://www.stepstone.de/cmp/de/ingenics-digital-gmbh-115971/jobs","https://www.stepstone.de/stellenangebote--Softwareentwickler-IT-gn-Embedded-Linux-Systeme-Graefelfing-bei-Muenchen-Ingenics-Digital-GmbH--13693972-inline.html","Softwareentwickler IT (gn) Embedded Linux Systeme","Ingenics Digital GmbH","Gräfelfing bei München","60.000 - 80.000 €/Jahr  (geschätzt für Vollzeit)","","","","","","vor 4 Wochen","Teilweise Home-Office","leidenschaft und wenn du dich darin wiederfindest, dann werde Teil unseres Teams und setze mit uns Impulse in der  & Embedded-Welt. * Ingenics Digital GmbH * Gräfelfing bei München * Feste Anstellung * Homeoffice möglich, Vollzeit - Anschreiben nicht erforderlich - Schnelle Bewerbung - Dein Tech-Stack: C - Embedded Linux - Isar / Yocto - Python - Security - This position requires fluent (B2) german skills. Unser Slogan ist technologie. mensch. Wir freuen uns dich kennenlernen zu dürfen! Damit unterstützt Du uns * Entwicklung – Mit deiner Erfahrung darfst du Embedded-Linux-Systeme für Bereiche wie Medizintechnik, Energietechnik, Sondermaschinenbau u.v.m. mitentwickeln * Zusammenarbeit – Dabei kannst du projektgebunden, zusammen mit den Kolleg*innen, von der Konzeptionierung bis zum Release arbeiten * Weiterentwicklung – Dein Beitrag ist uns wichtig, darum wollen wir mit dir zusammen unsere Isar-basierte Linux-Plattform ...","Software-","","","mehr","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","Schnelle Bewerbung","","","",""
"","","https://www.stepstone.de/cmp/de/bmw-group-27361/jobs","https://www.stepstone.de/stellenangebote--Senior-AI-Platform-Security-Engineer-f-m-x-Muenchen-BMW-Group--13928058-inline.html","Senior AI Platform Security Engineer (f/m/x)","BMW Group","München","76.000 - 100.000 €/Jahr  (geschätzt für Vollzeit)","","","","","","vor 6 Tagen","","You take strategic ownership of an  Moderation Layer as a hardened  service: define architecture standards,  policies, SLAs/SLOs, and ensure global scalability and integration with   services. * Mentoring and guiding an agile team of  and data scientists, you foster best practices in architecture,  and  engineering. We drive the  transformation of the BMW Group with innovative  services. * Acting as a trusted , you collaborate with legal, compliance, and data protection teams to shape governance and regulatory alignment for   * Ensuring enterprise-grade quality, you oversee  services in terms of architecture, code, IT  compliance, documentation, and operational KPIs. * 8+ years of experience in software or   and architecture in cloud environments (Azure/AWS), ...","AI","platform","security","mehr","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","","AI","platform","engineers","security,"
