"res-5zx6ot href","res-aogzfy","res-inoga3 href","res-1j9e5pd href","res-ewgtgq","res-ewgtgq 2","res-du9bhi","res-1bl90s9","res-7axup0","res-7lz8jh","res-7axup0 2","res-7lz8jh 5","res-7axup0 6","res-9lmmub","res-du9bhi 2","res-kjzl78","res-kjzl78 2","res-kjzl78 3","res-kjzl78 4","text-snippet-expand-button","res-1mkhkpt src","res-1jn70yv","res-kjzl78 5","res-kjzl78 6","res-kjzl78 7","res-kjzl78 8"
"[object Object]","Passt gut","https://www.stepstone.de/cmp/de/adesso-se-7420/jobs","https://www.stepstone.de/stellenangebote--Senior-Software-Engineer-KI-all-genders-Stuttgart-Nuernberg-Muenchen-Karlsruhe-Ulm-Walldorf-weitere-Standorte-in-DE-adesso-SE--13949314-inline.html","Senior Software Engineer KI (all genders)","adesso SE","Stuttgart, Nürnberg, München, Karlsruhe, Ulm, Walldorf, weitere Standorte in DE","","","","","","","vor 3 Tagen","","In a nutshell: In interdisziplinären Projektteams übernimmst du gemeinsam mit deinem Team abwechslungsreiche Tätigkeiten in technisch anspruchsvollen kundenspezifischen  aus dem gesamten Engineering-Prozess. * Starker Hintergrund: Du bringst einen starken Hintergrund in Java-Backend-Entwicklung, KI-Programmierung und -Engineering mit. * adesso SE * Stuttgart, Nürnberg, München, Karlsruhe, Ulm, Walldorf, weitere Standorte in DE * Feste Anstellung * Vollzeit - Sei einer der ersten Bewerber - Anschreiben nicht erforderlich - adesso steht für digitale Exzellenz – und damit auch für vielfältige Entwicklungsmöglichkeiten für alle adessi. Wir wachsen gemeinsam und lernen voneinander: in anspruchsvollen Projekten, interdisziplinären Teams und mit zielgerichteten Trainingsangeboten. Wir haben IT im Herzen und den Erfolg unserer Kunden im Fokus.","Softwareprojekten","Software","","mehr","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","Anschreiben nicht erforderlich","","","",""
"[object Object]","Passt gut","https://www.stepstone.de/cmp/de/cal-consult-gmbh-35329/jobs","https://www.stepstone.de/stellenangebote--Senior-Software-Architect-m-w-d-Remote-Muenchen-Stuttgart-Berlin-Frankfurt-Main-Leipzig-Dresden-Koeln-Hannover-Hamburg-CAL-Consult-GmbH--13761468-inline.html","Senior Software Architect (m/w/d) (Remote)","CAL Consult GmbH","München, Stuttgart, Berlin, Frankfurt/Main, Leipzig, Dresden, Köln, Hannover, Hamburg","40.000 - 65.000 €/Jahr  (geschätzt für Vollzeit)","Informatik","","","|","DevOps Entwicklung","vor 2 Wochen","Teilweise Home-Office","","","","","","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","","","","",""
"[object Object]","Passt gut","https://www.stepstone.de/cmp/de/rheinmetall-1262/jobs","https://www.stepstone.de/stellenangebote--Software-Developer-Payload-Management-m-w-d-Penzberg-Rheinmetall--13757748-inline.html","Software Developer Payload Management (m/w/d)","Rheinmetall","Penzberg","59.000 - 88.000 €/Jahr  (geschätzt für Vollzeit)","Git","|","Informatik","|","C++","vor 2 Wochen","","","","","","","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","","","","",""
"[object Object]","Passt gut","https://www.stepstone.de/cmp/de/adesso-se-7420/jobs","https://www.stepstone.de/stellenangebote--Senior-Software-Engineer-GenAI-Enterprise-Applications-all-genders-Augsburg-Karlsruhe-Koblenz-Muenchen-Nuernberg-Saarbruecken-Stuttgart-Ulm-Walldorf-adesso-SE--13911894-inline.html","Senior Software Engineer GenAI Enterprise Applications (all genders)","adesso SE","Augsburg, Karlsruhe, Koblenz, München, Nürnberg, Saarbrücken, Stuttgart, Ulm, Walldorf","58.000 - 98.000 €/Jahr  (geschätzt für Vollzeit)","","","","","","vor 1 Woche","Teilweise Home-Office","Wir gestalten und bauen  die unsere Kunden begeistert. * adesso SE * Augsburg, Karlsruhe, Koblenz, München, Nürnberg, Saarbrücken, Stuttgart, Ulm, Walldorf * Feste Anstellung * Homeoffice möglich, Vollzeit - Sei einer der ersten Bewerber - Anschreiben nicht erforderlich - adesso steht für IT-Exzellenz und damit auch für exzellente Entwicklungsmöglichkeiten für alle adessi. Wir wachsen gemeinsam und lernen voneinander - an unseren Projekten, im Team und mit herausragenden Trainingsangeboten. Wir haben IT im Herzen, die Branche im Blick und den Erfolg unserer Kunden im Sinn. Denn erfolgreiches Geschäft entsteht durch innovative Ideen, zukunftsfähige Strategien und kluge IT-Lösungen. Immer sind dabei Menschen beteiligt, die etwas bewegen wollen und das einfach machen. In Projekten, die uns fordern. Und das in einem Umfeld, das uns Spaß macht, in der Erfolg gemeinsam entsteht und sich alle wohlfühlen.","Software,","","","mehr","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","Anschreiben nicht erforderlich","","","",""
"[object Object]","Passt gut","https://www.stepstone.de/cmp/de/augentic-gmbh-408609/jobs","https://www.stepstone.de/stellenangebote--Software-Engineering-Manager-m-f-d-Muenchen-AUGENTIC-GmbH--13841302-inline.html","Software Engineering Manager (m/f/d)","AUGENTIC GmbH","München","100.000 - 120.000 €/Jahr  (geschätzt für Vollzeit)","","","","","","vor 1 Woche","","We are seeking a proactive and technically grounded   to lead our development efforts for the AUGENTIC  platform ""Qomitto"". * Minimum of 10 years of experience in  development, with at least 3 years as   * Bachelor's or Master's degree in computer science,   or a related field. o SDLC Ownership: Design and optimize the full  development life cycle, from initial planning and analysis through to production deployment and maintenance. o Testing Rigor: Establish high standards for  quality by mandating a comprehensive testing suite, including JUnit, integration tests, load testing, and automation. o Quality Metrics: Implement and monitor KPIs to assess team performance and  health, proactively identifying bottlenecks before they impact the roadmap.","Engineering","Manager","software","mehr","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","","software","Engineering","Manager.","Software"
"[object Object]","Passt gut","https://www.stepstone.de/cmp/de/check24-112642/jobs","https://www.stepstone.de/stellenangebote--Lead-Software-Engineer-m-w-d-Search-GenAI-Muenchen-CHECK24--13811078-inline.html","Lead Software Engineer (m/w/d) – Search & GenAI","CHECK24","München","90.000 - 120.000 €/Jahr  (geschätzt für Vollzeit)","Englisch","|","Python","|","Deutsch","vor 4 Tagen","","","","","","","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","","","","",""
"[object Object]","Passt gut","https://www.stepstone.de/cmp/de/cofinpro-ag-54094/jobs","https://www.stepstone.de/stellenangebote--Software-Architect-w-m-d-Frankfurt-am-Main-Muenchen-Berlin-Karlsruhe-Hannover-Koeln-Stuttgart-Cofinpro-AG--13415905-inline.html","Software Architect (w/m/d)","Cofinpro AG","Frankfurt am Main, München, Berlin, Karlsruhe, Hannover, Köln, Stuttgart","57.000 - 91.000 €/Jahr  (geschätzt für Vollzeit)","","","","","","vor 3 Wochen","Teilweise Home-Office","Kundenberatung zu skalierbaren und innovativen System- / -Architekturen sowie Verantwortung für deren Konzeption und Umsetzung, stets eng mit der Fachdomäne verzahnt * Mindestens drei Jahre Berufserfahrung in der Konzeption von  * Ausgeprägte Kenntnisse im Aufbau von -Architekturen und als Lead von  sowie in gängigen Enterprise-Technologien wie Spring, Jakarta EE bzw. .NET sowie aktuellen Webtechnologien (Vue.js, React etc.) * Cofinpro AG * Frankfurt am Main, München, Berlin, Karlsruhe, Hannover, Köln, Stuttgart * Feste Anstellung * Homeoffice möglich, Vollzeit - Schnelle Bewerbung - Besser beraten in den Themen Kredit, Wertpapier und Zahlungsverkehr. Wir sind die Management-, Fach- und Technologieberatung für Deutschlands führende Banken und Fondsgesellschaften. Was Deinen Job ausmacht","Software","Softwarearchitekturen","Software","mehr","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","Schnelle Bewerbung","Softwareentwicklungsteams","","",""
"[object Object]","Passt gut","https://www.stepstone.de/cmp/de/knds-227044/jobs","https://www.stepstone.de/stellenangebote--Softwareentwickler-m-w-d-Testautomatisierung-Muenchen-KNDS--13946468-inline.html","Softwareentwickler (m/w/d) Testautomatisierung","KNDS","München","","Informatik","|","Englisch","|","Deutsch","vor 3 Tagen","","","","","","","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","","","","",""
"[object Object]","Passt gut","https://www.stepstone.de/cmp/de/inovex-gmbh-24494/jobs","https://www.stepstone.de/stellenangebote--Software-Developer-Cloud-Technologien-Karlsruhe-Koeln-Muenchen-Hamburg-Stuttgart-Erlangen-oder-Berlin-inovex-GmbH--10621332-inline.html","Software Developer* Cloud-Technologien","inovex GmbH","Karlsruhe, Köln, München, Hamburg, Stuttgart, Erlangen oder Berlin","60.000 - 75.000 €/Jahr  (geschätzt für Vollzeit)","Microsoft Azure","|","Python","|","Git","vor 3 Wochen","Teilweise Home-Office","","","","","","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","","","","",""
"[object Object]","Passt gut","https://www.stepstone.de/cmp/de/inovex-gmbh-24494/jobs","https://www.stepstone.de/stellenangebote--Software-Engineer-fuer-Datenprojekte-Karlsruhe-Koeln-Muenchen-Hamburg-Stuttgart-Berlin-Erlangen-inovex-GmbH--10481680-inline.html","Software Engineer* für Datenprojekte","inovex GmbH","Karlsruhe, Köln, München, Hamburg, Stuttgart, Berlin, Erlangen","65.000 - 78.000 €/Jahr  (geschätzt für Vollzeit)","Englisch","|","Microsoft Azure","|","Deutsch","vor 1 Woche","Teilweise Home-Office","","","","","","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","","","","",""
